CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2014-1-1,21,13,5,7,2,-4,87,51,12,1022,1019,1016,19,7,5,11,3,,0.00,,,126
2014-1-2,22,14,6,12,8,4,92,65,36,1019,1016,1014,10,5,2,11,3,,0.00,5,,84
2014-1-3,24,18,12,13,11,9,95,63,39,1018,1016,1014,11,5,3,18,5,,0.00,6,,2
2014-1-4,21,16,10,9,4,1,73,44,21,1021,1019,1017,11,6,3,29,14,32,0.00,,,346
2014-1-5,21,14,7,8,3,-2,85,53,17,1021,1019,1016,14,5,3,14,5,,0.00,,,76
2014-1-6,22,14,8,11,8,6,92,63,36,1020,1017,1014,14,4,2,11,6,,0.00,5,,86
2014-1-7,21,17,13,16,12,10,94,70,48,1018,1016,1014,11,4,2,14,5,,0.51,8,中雨,72
2014-1-8,18,14,12,16,11,5,94,74,55,1023,1020,1017,18,7,0,29,11,,0.00,7,雾,353
2014-1-9,15,13,11,6,4,3,62,53,40,1026,1024,1022,19,10,8,29,19,,0.00,7,,16
2014-1-10,18,14,10,10,7,4,90,62,45,1027,1024,1021,14,8,2,11,8,,0.00,8,,58
2014-1-11,22,17,11,12,9,8,90,66,40,1026,1023,1020,14,5,2,11,6,,0.00,6,,84
2014-1-12,18,14,11,12,8,5,96,64,45,1027,1025,1023,18,8,2,29,13,47,0.00,5,雾,350
2014-1-13,14,11,8,5,3,2,69,57,40,1028,1025,1023,18,11,10,29,18,,0.00,6,,7
2014-1-14,17,12,7,6,2,0,80,51,32,1027,1025,1023,21,15,8,26,14,,0.00,,,12
2014-1-15,17,11,6,4,0,-3,85,48,20,1028,1026,1024,16,8,3,21,10,,0.00,,,29
2014-1-16,19,11,4,7,3,0,96,59,20,1027,1024,1022,16,6,2,11,5,26,0.00,,,89
2014-1-17,21,13,6,7,4,0,95,55,22,1026,1024,1021,13,7,2,21,6,35,0.00,,,15
2014-1-18,21,14,8,4,-1,-4,62,34,15,1030,1027,1025,23,9,3,32,16,35,0.00,,,10
2014-1-19,19,12,5,5,1,-3,83,46,17,1029,1026,1024,13,6,3,14,6,,0.00,,,77
2014-1-20,21,13,6,5,1,-4,83,46,16,1027,1025,1022,14,7,3,26,8,32,0.00,3,,18
2014-1-21,19,13,7,-3,-7,-13,37,23,9,1027,1026,1023,18,8,6,29,18,43,0.00,,,11
2014-1-22,19,11,2,2,-9,-14,72,26,8,1028,1026,1022,26,12,7,18,11,29,0.00,,,25
2014-1-23,19,11,2,5,0,-4,89,50,12,1025,1023,1019,14,8,5,11,5,,0.00,,,81
2014-1-24,21,12,4,12,7,2,94,60,36,1022,1018,1015,19,7,2,18,5,29,0.00,6,,84
2014-1-25,22,18,13,14,12,10,88,72,51,1020,1017,1015,19,7,4,11,3,,0.00,6,中雨,101
2014-1-26,25,20,14,14,13,11,90,65,35,1021,1019,1016,19,7,5,11,2,29,0.00,5,,24
2014-1-27,23,18,13,14,12,11,90,68,41,1023,1020,1017,11,5,3,11,3,,0.00,3,,159
2014-1-28,23,17,11,13,12,10,95,72,40,1023,1020,1017,11,4,2,11,3,,0.00,,,55
2014-1-29,24,17,11,13,12,8,94,71,30,1022,1019,1017,11,4,2,14,5,32,0.00,,,96
2014-1-30,26,18,11,14,11,9,94,67,28,1022,1019,1016,14,5,2,11,5,,0.00,,,81
2014-1-31,27,19,11,13,11,6,97,62,22,1020,1017,1015,23,4,0,18,5,,0.00,,雾,151
2014-2-1,26,19,13,16,13,11,95,66,33,1017,1015,1012,26,8,2,11,5,,0.00,5,雾,124
2014-2-2,26,19,12,15,13,12,98,68,34,1014,1011,1008,18,7,3,11,5,,0.00,3,,204
2014-2-3,28,20,13,15,13,10,96,66,30,1012,1009,1007,23,7,2,11,3,26,0.00,3,,189
2014-2-4,22,17,13,15,14,12,95,72,50,1014,1012,1010,18,7,3,18,6,,0.00,6,,127
2014-2-5,24,20,16,15,14,13,90,69,52,1016,1013,1010,18,8,5,14,8,29,0.00,5,,144
2014-2-6,25,21,17,17,16,15,88,72,57,1014,1011,1008,23,10,5,18,8,,0.00,6,,143
2014-2-7,24,17,10,18,14,8,94,81,65,1014,1011,1009,19,9,5,35,10,40,0.76,8,中雨,56
2014-2-8,12,11,9,9,8,5,95,82,67,1015,1013,1011,26,9,4,21,14,,1.02,8,中雨,8
2014-2-9,10,8,7,9,7,3,96,89,68,1019,1014,1011,31,10,3,32,13,,7.87,8,中雨,360
2014-2-10,9,7,6,4,-1,-2,81,58,46,1024,1021,1020,27,12,10,40,27,55,0.00,8,中雨,16
2014-2-11,7,6,4,-2,-4,-6,57,48,36,1024,1022,1020,26,11,10,29,19,,0.00,8,,15
2014-2-12,7,6,4,4,0,-4,96,70,49,1023,1020,1018,14,8,1,18,13,32,3.05,8,中雨,16
2014-2-13,8,6,4,4,3,1,93,78,60,1026,1024,1022,18,9,3,26,16,40,2.03,8,中雨,1
2014-2-14,13,9,5,2,1,-1,71,57,37,1027,1024,1021,19,9,7,26,18,,0.00,4,,19
2014-2-15,9,7,6,6,2,0,87,67,57,1024,1021,1019,14,8,5,14,10,,0.00,8,中雨,17
2014-2-16,16,12,8,10,8,6,93,80,59,1020,1018,1017,13,6,3,6,5,,0.00,8,中雨,305
2014-2-17,22,17,12,16,13,10,100,87,63,1020,1018,1016,11,4,1,11,3,,0.00,7,雾,69
2014-2-18,16,11,7,14,9,4,100,89,76,1023,1019,1015,31,8,1,35,13,40,4.06,8,中雨,344
2014-2-19,9,7,6,5,3,1,88,71,56,1026,1024,1021,27,12,5,29,19,43,4.06,7,中雨,352
2014-2-20,19,11,3,6,1,-2,82,56,16,1028,1025,1023,27,14,6,14,10,,0.00,,,6
2014-2-21,18,12,6,8,4,1,87,61,29,1027,1024,1021,26,9,3,14,6,26,0.00,6,中雨,96
2014-2-22,14,12,11,11,9,7,95,82,63,1025,1023,1021,14,6,2,14,5,,1.02,8,中雨,50
2014-2-23,22,17,11,13,11,7,94,74,30,1025,1022,1020,18,6,2,18,3,26,1.02,8,中雨,238
2014-2-24,23,17,11,15,13,9,95,73,47,1022,1020,1017,19,7,2,18,5,,0.00,6,,142
2014-2-25,26,21,16,19,16,14,100,78,56,1020,1017,1015,16,6,2,21,5,,0.51,5,中雨,138
2014-2-26,25,21,18,18,17,15,100,82,54,1020,1018,1015,16,5,2,18,6,,0.00,7,雾-中雨,6
2014-2-27,27,22,17,18,16,14,88,71,43,1021,1018,1014,18,9,4,18,8,,0.00,4,,124
2014-2-28,22,19,17,18,17,14,94,82,69,1019,1016,1013,14,6,3,14,6,,0.25,7,中雨,104
2014-3-1,25,21,17,19,18,15,94,82,63,1016,1014,1011,16,6,3,29,8,,0.00,7,中雨,110
2014-3-2,19,17,14,14,12,10,100,78,58,1017,1015,1013,26,10,3,29,16,,0.00,8,中雨,2
2014-3-3,15,14,14,14,13,12,100,92,87,1018,1016,1015,10,5,1,14,10,,0.00,8,中雨,49
2014-3-4,16,14,13,15,14,12,100,94,87,1020,1018,1016,14,5,1,18,6,35,0.00,8,中雨,19
2014-3-5,17,14,13,13,11,8,94,74,54,1021,1019,1016,27,11,2,21,11,29,0.00,8,,32
2014-3-6,17,16,14,15,13,12,100,87,67,1021,1017,1016,10,4,2,14,5,,2.03,8,中雨,57
2014-3-7,15,14,13,14,13,12,100,93,88,1022,1020,1018,10,5,2,11,6,,1.02,8,中雨,44
2014-3-8,14,13,12,14,13,11,100,93,88,1022,1019,1017,10,5,1,18,8,,0.51,8,中雨,22
2014-3-9,13,11,9,11,9,8,93,86,77,1024,1022,1020,14,9,5,21,13,,3.05,7,中雨,18
2014-3-10,13,12,11,12,11,9,100,92,87,1025,1023,1020,11,5,2,11,5,,2.03,8,中雨,41
2014-3-11,15,13,12,14,13,11,100,95,83,1023,1020,1017,13,5,1,11,5,,0.00,8,中雨,42
2014-3-12,19,17,14,18,16,14,100,97,91,1018,1014,1011,3,1,0,14,5,,18.03,8,雾-中雨-雷暴,321
2014-3-13,22,19,17,18,13,9,100,70,47,1022,1017,1014,27,11,3,29,18,43,0.00,6,中雨,2
2014-3-14,17,14,13,9,7,5,72,57,39,1026,1023,1020,19,10,6,26,13,,0.00,8,中雨,24
2014-3-15,17,14,12,11,8,6,77,64,49,1024,1022,1020,14,8,5,6,5,,0.00,8,中雨,72
2014-3-16,19,17,14,15,13,11,88,79,57,1023,1021,1019,14,5,3,11,6,,0.00,8,,42
2014-3-17,24,20,16,18,16,14,94,81,56,1021,1019,1016,10,4,2,11,3,,0.00,8,,79
2014-3-18,26,22,18,20,18,17,96,81,47,1018,1015,1012,19,5,2,14,3,,0.00,7,中雨,127
2014-3-19,28,23,18,20,18,17,95,77,44,1015,1013,1010,11,5,2,11,5,,0.00,5,,68
2014-3-20,27,21,16,19,16,5,96,73,47,1020,1015,1012,19,6,2,43,11,55,0.51,5,中雨,13
2014-3-21,16,14,13,9,6,4,72,56,46,1024,1021,1019,26,11,8,29,21,55,0.51,7,中雨,27
2014-3-22,22,17,12,12,9,7,76,59,32,1023,1021,1019,23,9,6,11,6,,0.00,7,,58
2014-3-23,25,20,14,14,12,6,88,64,21,1024,1021,1018,19,6,3,11,6,,0.00,7,中雨,90
2014-3-24,28,20,12,15,12,7,95,60,20,1022,1019,1015,23,7,3,14,5,,0.00,4,,153
2014-3-25,28,22,16,18,16,15,91,66,40,1018,1015,1011,19,8,5,14,6,,0.00,4,,145
2014-3-26,29,23,17,19,18,16,98,71,40,1016,1013,1010,19,5,3,11,5,26,0.00,6,,134
2014-3-27,29,23,17,20,18,17,95,72,44,1014,1012,1009,26,7,3,21,6,,0.00,5,,143
2014-3-28,26,23,21,21,21,19,90,80,66,1014,1011,1008,23,8,4,21,11,,0.00,7,中雨,159
2014-3-29,26,22,19,22,21,19,100,85,69,1012,1010,1009,19,6,2,18,8,,8.89,7,中雨-雷暴,138
2014-3-30,21,20,19,21,20,19,100,96,92,1011,1009,1005,18,5,1,29,13,55,77.98,5,中雨-雷暴,59
2014-3-31,24,21,18,21,19,18,100,92,78,1012,1008,1005,14,5,0,29,10,,38.10,6,中雨-雷暴,140
2014-4-1,21,19,18,20,18,16,100,89,73,1015,1011,1009,19,7,0,21,6,43,7.87,5,雾-中雨-雷暴,29
2014-4-2,23,21,18,19,18,17,100,91,62,1015,1011,1007,26,7,1,47,6,76,8.89,6,雾-中雨-雷暴,51
2014-4-3,26,22,18,21,19,18,100,84,61,1016,1013,1010,27,7,2,18,6,43,27.94,5,中雨-雷暴,36
2014-4-4,27,22,17,19,17,15,94,72,43,1018,1016,1014,18,7,0,18,6,,0.00,6,雾-中雨,116
2014-4-5,27,21,15,18,16,13,97,71,34,1018,1016,1013,19,6,2,11,5,,0.00,2,,117
2014-4-6,22,19,17,18,17,15,94,86,64,1019,1017,1015,10,5,2,21,6,,7.87,8,中雨,70
2014-4-7,22,20,17,19,18,17,100,87,69,1018,1016,1014,16,5,2,6,5,,0.51,7,中雨,74
2014-4-8,24,21,19,21,19,18,96,87,71,1016,1014,1012,14,4,0,6,5,,0.25,8,雾-中雨,84
2014-4-9,29,24,20,22,21,18,100,79,47,1015,1013,1010,18,4,0,14,3,,0.00,5,雾,139
2014-4-10,28,24,21,21,20,18,88,76,54,1016,1014,1011,19,7,3,18,6,,0.00,6,,129
2014-4-11,27,23,20,21,19,17,83,74,53,1015,1013,1010,23,8,4,18,10,,0.00,6,,157
2014-4-12,29,26,22,22,21,19,88,75,50,1013,1011,1009,23,7,4,11,6,,0.00,6,,143
2014-4-13,33,28,22,24,22,21,92,72,43,1014,1011,1009,19,6,2,14,5,,0.00,3,中雨,116
2014-4-14,28,26,23,24,21,18,92,76,65,1016,1013,1011,16,7,2,14,6,,0.76,7,中雨,75
2014-4-15,27,24,21,19,18,16,83,68,44,1017,1014,1012,18,8,5,18,10,,0.00,7,,154
2014-4-16,26,23,21,21,19,17,83,75,63,1014,1012,1009,18,7,5,21,10,,0.00,8,,142
2014-4-17,29,26,22,21,21,18,88,74,46,1013,1011,1009,27,7,3,14,6,,0.00,6,,143
2014-4-18,31,26,20,22,21,19,95,75,49,1013,1011,1009,23,7,3,18,6,,0.00,4,,151
2014-4-19,30,26,21,23,22,20,93,75,50,1013,1011,1009,21,8,4,14,6,,0.00,6,,137
2014-4-20,28,26,23,24,23,22,94,83,67,1013,1010,1008,10,5,2,11,3,,0.00,7,中雨,58
2014-4-21,30,27,24,23,22,21,89,77,60,1013,1011,1009,19,8,3,21,10,,0.00,5,,150
2014-4-22,25,23,22,22,21,20,94,83,74,1014,1012,1011,14,8,2,18,8,,0.25,7,中雨,55
2014-4-23,23,21,20,22,21,19,100,95,81,1014,1011,1009,6,3,1,14,8,,2.03,8,中雨,64
2014-4-24,25,23,21,22,21,19,94,86,77,1012,1010,1008,13,5,3,11,8,,0.00,8,中雨,102
2014-4-25,28,25,22,23,22,21,89,82,70,1013,1011,1009,19,6,3,18,6,,0.00,8,,136
2014-4-26,25,23,21,23,22,20,100,90,74,1015,1012,1009,18,6,0,26,8,,19.05,7,中雨-雷暴,84
2014-4-27,28,24,21,21,20,17,100,79,53,1015,1014,1012,26,9,2,29,10,32,0.00,4,,358
2014-4-28,30,26,21,19,17,16,78,61,39,1016,1014,1011,26,11,7,21,14,,0.00,4,,359
2014-4-29,29,24,19,20,17,15,94,65,40,1014,1013,1010,26,7,2,21,8,,16.00,7,中雨,29
2014-4-30,20,19,18,18,18,17,100,94,83,1014,1012,1011,10,5,2,18,8,,16.00,8,中雨,15
2014-5-1,24,21,17,21,18,17,100,86,73,1015,1013,1011,26,8,2,11,5,,1.02,7,中雨,65
2014-5-2,29,24,21,23,21,19,94,80,51,1016,1014,1012,31,9,4,6,5,,0.00,6,中雨,83
2014-5-3,32,27,21,23,20,16,96,69,33,1015,1013,1011,26,9,2,14,6,,0.00,5,,103
2014-5-4,26,23,21,23,21,17,100,82,59,1014,1011,1009,19,6,2,26,6,,25.91,8,中雨-雷暴,80
2014-5-5,22,19,17,19,17,16,96,85,69,1019,1015,1012,31,9,2,26,16,,34.04,8,中雨-雷暴,23
2014-5-6,21,19,17,19,17,16,100,89,78,1018,1017,1015,26,7,2,11,5,,0.51,8,中雨,42
2014-5-7,21,19,18,20,19,18,100,96,88,1016,1014,1012,13,4,0,11,5,,45.97,8,中雨,65
2014-5-8,24,22,19,22,21,19,100,95,87,1013,1010,1008,11,4,0,18,3,,12.95,8,中雨-雷暴,80
2014-5-9,23,22,21,22,21,20,100,93,87,1010,1007,1005,16,7,3,18,6,,16.00,8,中雨,104
2014-5-10,27,24,21,23,22,21,94,84,74,1009,1007,1004,27,10,2,35,13,47,0.00,7,中雨,134
2014-5-11,27,24,23,24,23,22,100,90,83,1009,1006,1004,14,8,1,18,10,,8.89,7,雾-中雨-雷暴,113
2014-5-12,27,24,22,24,23,21,100,89,79,1010,1008,1006,14,5,0,11,6,,0.00,7,雾,45
2014-5-13,32,28,24,27,24,23,94,86,70,1009,1006,1002,18,6,2,21,6,29,4.06,5,雾-中雨-雷暴,128
2014-5-14,32,29,26,26,25,24,94,79,61,1006,1004,1001,23,11,6,21,11,,0.00,6,中雨,160
2014-5-15,33,29,25,26,25,22,94,83,62,1007,1004,1002,18,9,3,21,8,,0.25,6,中雨-雷暴,78
2014-5-16,29,27,25,27,26,24,100,93,83,1009,1006,1005,19,6,2,21,8,,55.88,6,中雨-雷暴,81
2014-5-17,32,27,23,27,24,22,100,87,61,1010,1008,1005,27,9,3,29,10,,42.93,5,中雨-雷暴,137
2014-5-18,32,27,22,26,24,21,100,90,69,1010,1008,1006,14,7,1,29,6,58,8.89,4,中雨-雷暴,70
2014-5-19,31,27,23,26,24,22,100,90,73,1011,1008,1005,19,8,2,14,6,,6.10,6,中雨-雷暴,83
2014-5-20,32,28,23,27,24,22,100,90,57,1009,1007,1005,19,6,2,18,5,,10.92,6,雾-中雨-雷暴,151
2014-5-21,29,26,23,26,24,23,100,92,73,1008,1006,1003,14,7,1,21,8,,56.90,6,中雨-雷暴,111
2014-5-22,29,26,22,26,24,21,100,90,78,1008,1004,1003,26,9,2,29,11,47,25.91,5,中雨-雷暴,143
2014-5-23,25,23,22,25,23,22,100,97,91,1011,1008,1005,13,5,1,29,8,50,6.10,7,中雨-雷暴,69
2014-5-24,31,27,24,27,25,23,100,88,69,1012,1010,1009,27,9,3,29,6,,5.08,5,中雨-雷暴,109
2014-5-25,35,29,23,27,25,22,100,82,52,1013,1011,1008,27,10,0,61,8,84,9.91,5,雾-中雨-雷暴,162
2014-5-26,33,28,24,26,25,23,96,81,57,1012,1009,1007,27,8,0,14,6,,0.00,3,中雨,344
2014-5-27,34,29,25,26,25,23,95,77,49,1009,1007,1004,16,6,2,21,5,,3.05,5,,238
2014-5-28,35,30,25,26,24,22,94,72,49,1009,1006,1003,27,9,2,26,6,32,0.00,4,雷暴,225
2014-5-29,34,29,25,26,26,23,95,81,47,1007,1006,1004,27,8,4,40,6,58,0.25,4,中雨-雷暴,129
2014-5-30,31,28,26,28,26,24,100,89,62,1008,1006,1004,27,8,3,18,8,,0.00,6,中雨-雷暴,70
2014-5-31,36,31,26,27,25,21,100,73,43,1009,1007,1004,31,11,6,18,8,,0.00,3,,159
2014-6-1,36,31,27,26,25,22,89,69,38,1009,1006,1003,31,12,10,18,8,,0.00,5,,187
2014-6-2,36,31,27,26,24,23,84,67,47,1007,1004,1002,31,13,10,18,10,,0.51,5,,210
2014-6-3,31,28,24,27,24,23,100,86,67,1006,1003,1002,27,10,1,26,8,,9.91,5,中雨-雷暴,96
2014-6-4,35,30,26,26,25,23,94,76,46,1006,1003,1001,23,8,2,14,8,,0.00,4,中雨,135
2014-6-5,35,29,23,27,25,22,100,80,53,1005,1003,1000,26,10,1,32,8,47,55.88,5,中雨-雷暴,149
2014-6-6,29,26,23,26,24,23,96,91,79,1004,1002,1001,26,9,2,29,6,,23.88,5,中雨-雷暴,91
2014-6-7,30,27,24,26,25,24,100,88,74,1004,1002,999,11,4,0,21,5,,7.87,6,中雨-雷暴,156
2014-6-8,35,30,24,27,25,22,95,75,40,1003,1001,998,19,6,0,14,5,,0.00,2,雾,69
2014-6-9,33,28,24,26,25,23,95,78,56,1003,1001,998,23,8,3,18,8,,17.02,5,中雨,113
2014-6-10,31,28,26,26,25,24,92,80,66,1003,1001,999,19,9,3,18,6,,0.76,6,中雨,94
2014-6-11,29,27,24,26,25,23,100,91,79,1004,1002,1000,10,4,1,11,5,,26.92,6,中雨-雷暴,110
2014-6-12,33,29,24,26,24,18,97,77,29,1004,1002,1000,23,6,0,11,5,,0.00,2,雾-中雨,63
2014-6-13,35,29,22,25,21,15,94,61,23,1005,1002,1001,26,8,3,18,8,,0.00,2,,78
2014-6-14,36,30,24,24,22,19,80,56,31,1005,1003,1001,23,9,5,18,6,,0.00,2,,41
2014-6-15,36,31,26,26,23,22,84,62,38,1003,1001,999,19,8,5,21,6,,0.00,3,中雨,42
2014-6-16,37,32,27,27,26,22,91,67,42,1004,1001,998,18,6,0,18,8,,0.51,1,雾,190
2014-6-17,33,29,26,27,26,23,94,80,64,1006,1003,1002,26,11,4,43,10,,1.02,5,中雨-雷暴,158
2014-6-18,34,30,26,27,26,23,94,85,49,1005,1004,1002,27,7,2,26,6,47,0.00,4,中雨-雷暴,46
2014-6-19,34,31,28,27,26,24,94,80,56,1004,1002,1000,26,10,6,29,8,,0.25,4,中雨-雷暴,141
2014-6-20,32,29,26,28,27,25,100,87,70,1003,1001,1000,27,9,4,21,10,,5.08,6,中雨-雷暴,141
2014-6-21,31,27,24,27,26,23,100,91,66,1004,1002,1000,27,7,1,29,6,47,27.94,5,中雨-雷暴,96
2014-6-22,31,28,25,27,26,24,100,89,70,1005,1003,1002,23,7,0,18,6,,9.91,5,雾-中雨,96
2014-6-23,31,28,24,27,26,24,100,88,69,1006,1003,1001,24,8,2,18,6,,32.00,5,中雨-雷暴,94
2014-6-24,32,28,25,27,26,24,100,87,68,1006,1003,1001,26,10,3,29,8,,0.76,5,中雨-雷暴,107
2014-6-25,30,28,26,27,26,25,100,90,78,1007,1005,1003,19,8,3,21,6,,23.11,7,中雨-雷暴,101
2014-6-26,35,31,27,27,26,23,100,77,43,1007,1005,1003,26,10,6,14,6,,0.00,4,,159
2014-6-27,36,31,26,27,26,22,93,71,40,1007,1005,1002,27,11,6,14,8,,0.00,4,,147
